"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-22T22:53:43.000","DOT","Street Condition","Pothole","QUEENS","11435",,,,"JAMAICA AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:53:18.000","DOT","Street Condition","Pothole","QUEENS","11365",,,,"FRANCIS LEWIS BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:52:19.000","DOT","Street Condition","Pothole","MANHATTAN","10033","40.84893882297593","-73.93707107740241",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:52:08.000","DOT","Street Condition","Cave-in","BROOKLYN","11237","40.70293606823061","-73.92059684470097","Street","DEKALB AVENUE","In Progress",
"2026-03-22T22:50:27.000","DOT","Street Condition","Pothole","BRONX","10461",,,,"PELHAM PARKWAY","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:50:09.000","DOT","Street Condition","Line/Marking - Faded","BROOKLYN","11201","40.6991474846209","-73.98688710811888","Street","JAY STREET","In Progress",
"2026-03-22T22:49:09.000","DOT","Street Condition","Pothole","MANHATTAN","10033","40.84893882297593","-73.93707107740241",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:48:48.000","DOT","Street Condition","Pothole","QUEENS","11361",,,,"222 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:47:07.000","DOT","Street Condition","Pothole","MANHATTAN","10033","40.84893882297593","-73.93707107740241",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:46:45.000","DOT","Street Condition","Plate Condition - Noisy","MANHATTAN","10009","40.73259304097862","-73.97441053156273","Street","EAST 20 STREET","In Progress",
"2026-03-22T22:46:00.000","DEP","Sewer","Sewer Odor (SA2)","STATEN ISLAND","10314","40.586995197686804","-74.14945777251599",,"BEARD STREET","Open",
"2026-03-22T22:45:38.000","DOT","Street Condition","Pothole","QUEENS","11005","40.75922930959015","-73.71594461139051",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:45:24.000","DOT","Street Condition","Pothole","QUEENS","11368",,,,"43 AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
